Date,Perps,Spot
2/27/2023,3801,0
2/28/2023,3942,0
3/1/2023,4029,0
3/2/2023,4204,0
3/3/2023,4398,0
3/4/2023,4506,0
3/5/2023,4413,0
3/6/2023,4418,0
3/7/2023,4412,0
3/8/2023,4418,0
3/9/2023,4428,0
3/10/2023,4733,0
3/11/2023,4700,0
3/12/2023,4786,0
3/13/2023,5271,0
3/14/2023,5406,0
3/15/2023,5814,0
3/16/2023,5717,0
3/17/2023,5729,0
3/18/2023,5719,0
3/19/2023,5730,0
3/20/2023,5717,0
3/21/2023,5740,0
3/22/2023,5726,0
3/23/2023,6030,0
3/24/2023,7508,0
3/25/2023,8818,0
3/26/2023,8813,0
3/27/2023,8642,0
3/28/2023,9152,0
3/29/2023,9462,0
3/30/2023,9672,0
3/31/2023,9873,0
4/1/2023,9607,0
4/2/2023,9586,0
4/3/2023,9622,0
4/4/2023,9612,0
4/5/2023,9637,0
4/6/2023,11110,0
4/7/2023,9237,0
4/8/2023,10737,0
4/9/2023,12636,0
4/10/2023,12623,0
4/11/2023,13226,0
4/12/2023,14263,0
4/13/2023,16264,0
4/14/2023,18772,0
4/15/2023,29331,0
4/16/2023,31671,0
4/17/2023,33671,0
4/18/2023,36187,0
4/19/2023,43729,0
4/20/2023,63906,0
4/21/2023,73898,0
4/22/2023,89327,0
4/23/2023,93374,0
4/24/2023,107129,0
4/25/2023,125685,0
4/26/2023,154754,0
4/27/2023,155754,0
4/28/2023,158484,0
4/29/2023,166779,0
4/30/2023,174882,0
5/1/2023,197027,0
5/2/2023,203561,0
5/3/2023,203998,0
5/4/2023,224949,0
5/5/2023,227013,0
5/6/2023,243792,0
5/7/2023,244945,0
5/8/2023,257858,0
5/9/2023,266413,0
5/10/2023,283172,0
5/11/2023,313610,0
5/12/2023,320504,0
5/13/2023,346246,0
5/14/2023,356922,0
5/15/2023,357691,0
5/16/2023,364794,0
5/17/2023,398962,0
5/18/2023,426900,0
5/19/2023,485511,0
5/20/2023,507565,0
5/21/2023,534906,0
5/22/2023,578594,0
5/23/2023,630648,0
5/24/2023,729719,0
5/25/2023,1071204,0
5/26/2023,1917869,0
5/27/2023,2011657,0
5/28/2023,2756323,0
5/29/2023,3004910,0
5/30/2023,3060554,0
5/31/2023,3112643,0
6/1/2023,3255595,0
6/2/2023,3450869,0
6/3/2023,3667493,0
6/4/2023,3835275,0
6/5/2023,3874790,0
6/6/2023,3860602,0
6/7/2023,3789108,0
6/8/2023,3708299,0
6/9/2023,3578747,0
6/10/2023,3545393,0
6/11/2023,3495056,0
6/12/2023,3468421,0
6/13/2023,3321825,0
6/14/2023,3311014,0
6/15/2023,3312640,0
6/16/2023,3363219,0
6/17/2023,3449653,0
6/18/2023,3456379,0
6/19/2023,3459557,0
6/20/2023,3343706,0
6/21/2023,3231314,0
6/22/2023,3271606,0
6/23/2023,3257585,0
6/24/2023,3277395,0
6/25/2023,3203137,0
6/26/2023,3233112,0
6/27/2023,3304769,0
6/28/2023,3266185,0
6/29/2023,3296682,0
6/30/2023,3308754,0
7/1/2023,3397471,0
7/2/2023,3359953,0
7/3/2023,3384971,0
7/4/2023,3092031,0
7/5/2023,3178053,0
7/6/2023,3152539,0
7/7/2023,3168165,0
7/8/2023,3260666,0
7/9/2023,3204795,0
7/10/2023,2796077,0
7/11/2023,2796251,0
7/12/2023,2818523,0
7/13/2023,2857999,0
7/14/2023,3087583,0
7/15/2023,3217261,0
7/16/2023,3204251,0
7/17/2023,3188198,0
7/18/2023,3126040,0
7/19/2023,3156723,0
7/20/2023,3344757,0
7/21/2023,3362256,0
7/22/2023,3375672,0
7/23/2023,3409513,0
7/24/2023,3305621,0
7/25/2023,3334362,0
7/26/2023,3016982,0
7/27/2023,3039224,0
7/28/2023,3033550,0
7/29/2023,3089461,0
7/30/2023,3163954,0
7/31/2023,3178095,0
8/1/2023,3134645,0
8/2/2023,3142174,0
8/3/2023,3157058,0
8/4/2023,3182419,0
8/5/2023,3225001,0
8/6/2023,3158003,0
8/7/2023,3252922,0
8/8/2023,3622235,0
8/9/2023,4115305,0
8/10/2023,4189427,0
8/11/2023,4160354,0
8/12/2023,3781962,0
8/13/2023,3718263,0
8/14/2023,3713105,0
8/15/2023,3740720,0
8/16/2023,3876210,0
8/17/2023,4535203,0
8/18/2023,4633720,0
8/19/2023,5122198,0
8/20/2023,5291475,0
8/21/2023,5160641,0
8/22/2023,7811915,0
8/23/2023,8366660,0
8/24/2023,8798754,0
8/25/2023,8884352,0
8/26/2023,8977209,0
8/27/2023,9194700,0
8/28/2023,9254000,0
8/29/2023,9263652,0
8/30/2023,8604903,0
8/31/2023,8282638,0
9/1/2023,8393923,0
9/2/2023,8441251,0
9/3/2023,8995532,0
9/4/2023,9819430,0
9/5/2023,10289267,0
9/6/2023,10031033,0
9/7/2023,10568813,0
9/8/2023,10851289,0
9/9/2023,11014308,0
9/10/2023,11200053,0
9/11/2023,11307735,0
9/12/2023,11484200,0
9/13/2023,11319763,0
9/14/2023,12171111,0
9/15/2023,12545356,0
9/16/2023,12696042,0
9/17/2023,12841197,0
9/18/2023,12908284,0
9/19/2023,12780927,0
9/20/2023,12630312,0
9/21/2023,12099462,0
9/22/2023,12213787,0
9/23/2023,12106080,0
9/24/2023,12079665,0
9/25/2023,11902984,0
9/26/2023,11846670,0
9/27/2023,11917972,0
9/28/2023,11381444,0
