Date,Aevo,ApeX,Avantis,Bluefin,Drift Protocol,dYdX v3,dYdX v4,Gains Network,GMX,Holdstation,Hyperliquid,Jupiter,KTX Finance,Level Finance,MUX Protocol,Perpetual Protocol,RabbitX,Synthetix,Vertex Protocol
25-Feb-21,,,,,,0,,,,,,,,,,,,,
26-Feb-21,,,,,,103833.1816,,,,,,,,,,,,,
27-Feb-21,,,,,,49316.95543,,,,,,,,,,,,,
28-Feb-21,,,,,,28888.36604,,,,,,,,,,,,,
1-Mar-21,,,,,,40320.2388,,,,,,,,,,,,,
2-Mar-21,,,,,,108806.822,,,,,,,,,,,,,
3-Mar-21,,,,,,206879.8183,,,,,,,,,,,,,
4-Mar-21,,,,,,95536.7974,,,,,,,,,,,,,
5-Mar-21,,,,,,50395.6973,,,,,,,,,,,,,
6-Mar-21,,,,,,109131.1231,,,,,,,,,,,,,
7-Mar-21,,,,,,65311.5141,,,,,,,,,,,,,
8-Mar-21,,,,,,110211.598,,,,,,,,,,,,,
9-Mar-21,,,,,,243319.1185,,,,,,,,,,,,,
10-Mar-21,,,,,,284447.4155,,,,,,,,,,,,,
11-Mar-21,,,,,,222272.6482,,,,,,,,,,,,,
12-Mar-21,,,,,,243883.822,,,,,,,,,,,,,
13-Mar-21,,,,,,702189.8928,,,,,,,,,,,,,
14-Mar-21,,,,,,262514.4114,,,,,,,,,,,,,
15-Mar-21,,,,,,1450644.027,,,,,,,,,,,,,
16-Mar-21,,,,,,826613.9291,,,,,,,,,,,,,
17-Mar-21,,,,,,932007.4549,,,,,,,,,,,,,
18-Mar-21,,,,,,1286867.153,,,,,,,,,,,,,
19-Mar-21,,,,,,1334003.917,,,,,,,,,,,,,
20-Mar-21,,,,,,607219.4321,,,,,,,,,,,,,
21-Mar-21,,,,,,1130455.788,,,,,,,,,,,,,
22-Mar-21,,,,,,1678630.889,,,,,,,,,,,,,
23-Mar-21,,,,,,946023.6835,,,,,,,,,,,,,
24-Mar-21,,,,,,2698368.608,,,,,,,,,,,,,
25-Mar-21,,,,,,2213469.575,,,,,,,,,,,,,
26-Mar-21,,,,,,1618436.153,,,,,,,,,,,,,
27-Mar-21,,,,,,1216833.324,,,,,,,,,,,,,
28-Mar-21,,,,,,937023.4138,,,,,,,,,,,,,
29-Mar-21,,,,,,1877896.457,,,,,,,,,,,,,
30-Mar-21,,,,,,1311958.483,,,,,,,,,,,,,
31-Mar-21,,,,,,3001666.358,,,,,,,,,,,,,
1-Apr-21,,,,,,3705141.956,,,,,,,,,,,,,
2-Apr-21,,,,,,2902123.202,,,,,,,,,,,,,
3-Apr-21,,,,,,4241126.108,,,,,,,,,,,,,
4-Apr-21,,,,,,1932506.906,,,,,,,,,,,,,
5-Apr-21,,,,,,3357695.439,,,,,,,,,,,,,
6-Apr-21,,,,,,6912468.48,,,,,,,,,,,,,
7-Apr-21,,,,,,11803658.6,,,,,,,,,,,,,
8-Apr-21,,,,,,4357678.598,,,,,,,,,,,,,
9-Apr-21,,,,,,7859378.495,,,,,,,,,,,,,
10-Apr-21,,,,,,21007118.94,,,,,,,,,,,,,
11-Apr-21,,,,,,6191299.802,,,,,,,,,,,,,
12-Apr-21,,,,,,12530254.37,,,,,,,,,,,,,
13-Apr-21,,,,,,21094903,,,,,,,,,,,,,
14-Apr-21,,,,,,33955926.67,,,,,,,,,,,,,
15-Apr-21,,,,,,24306080.7,,,,,,,,,,,,,
16-Apr-21,,,,,,34737838.58,,,,,,,,,,,,,
17-Apr-21,,,,,,16876750.36,,,,,,,,,,,,,
18-Apr-21,,,,,,40509128.13,,,,,,,,,,,,,
19-Apr-21,,,,,,27644466.18,,,,,,,,,,,,,
20-Apr-21,,,,,,37694339.43,,,,,,,,,,,,,
21-Apr-21,,,,,,27041321.33,,,,,,,,,,,,,
22-Apr-21,,,,,,40513718.87,,,,,,,,,,,,,
23-Apr-21,,,,,,33399758.26,,,,,,,,,,,,,
24-Apr-21,,,,,,18424202.01,,,,,,,,,,,,,
25-Apr-21,,,,,,11676010.36,,,,,,,,,,,,,
26-Apr-21,,,,,,22966384.74,,,,,,,,,,,,,
27-Apr-21,,,,,,19674317.67,,,,,,,,,,,,,
28-Apr-21,,,,,,22904979.91,,,,,,,,,,,,,
29-Apr-21,,,,,,19157317.89,,,,,,,,,,,,,
30-Apr-21,,,,,,13565882.48,,,,,,,,,,,,,
1-May-21,,,,,,17746002.04,,,,,,,,,,,,,
2-May-21,,,,,,14678266.24,,,,,,,,,,,,,
3-May-21,,,,,,47074333.17,,,,,,,,,,,,,
4-May-21,,,,,,50553699.14,,,,,,,,,,,,,
5-May-21,,,,,,23221491.51,,,,,,,,,,,,,
6-May-21,,,,,,29297035.16,,,,,,,,,,,,,
