Date,Avantis,dYdX v3,dYdX v4,Gains Network,GMX,Holdstation,Hyperliquid,Jupiter,KTX Finance,Level Finance,MUX Protocol,Perpetual Protocol,RabbitX,Synthetix,Vertex Protocol
31-Aug-21,,,,,2,,,,,,,,,,
1-Sep-21,,,,,13,,,,,,,,,,
2-Sep-21,,,,,20,,,,,,,,,,
3-Sep-21,,,,,23,,,,,,,,,,
4-Sep-21,,,,,10,,,,,,,,,,
5-Sep-21,,,,,14,,,,,,,,,,
6-Sep-21,,,,,67,,,,,,,,,,
7-Sep-21,,,,,57,,,,,,,,,,
8-Sep-21,,,,,45,,,,,,,,,,
9-Sep-21,,,,,35,,,,,,,,,,
10-Sep-21,,,,,72,,,,,,,,,,
11-Sep-21,,,,,127,,,,,,,,,,
12-Sep-21,,,,,210,,,,,,,,,,
13-Sep-21,,,,,204,,,,,,,,,,
14-Sep-21,,,,,122,,,,,,,,,,
15-Sep-21,,,,,189,,,,,,,,,,
16-Sep-21,,,,,160,,,,,,,,,,
17-Sep-21,,,,,176,,,,,,,,,,
18-Sep-21,,,,,129,,,,,,,,,,
19-Sep-21,,,,,127,,,,,,,,,,
20-Sep-21,,,,,228,,,,,,,,,,
21-Sep-21,,,,,238,,,,,,,,,,
22-Sep-21,,,,,133,,,,,,,,,,
23-Sep-21,,,,,108,,,,,,,,,,
24-Sep-21,,,,,182,,,,,,,,,,
25-Sep-21,,,,,81,,,,,,,,,,
26-Sep-21,,,,,131,,,,,,,,,,
27-Sep-21,,,,,110,,,,,,,,,,
28-Sep-21,,,,,125,,,,,,,,,,
29-Sep-21,,,,,119,,,,,,,,,,
30-Sep-21,,,,,118,,,,,,,,,,
1-Oct-21,,,,,157,,,,,,,,,,
2-Oct-21,,,,,106,,,,,,,,,,
3-Oct-21,,,,,87,,,,,,,,,,
4-Oct-21,,,,,125,,,,,,,,,,
5-Oct-21,,,,,140,,,,,,,,,,
6-Oct-21,,,,,164,,,,,,,,,,
7-Oct-21,,,,,120,,,,,,,,,,
8-Oct-21,,,,,105,,,,,,,,,,
9-Oct-21,,,,,84,,,,,,,,,,
10-Oct-21,,,,,111,,,,,,,,,,
11-Oct-21,,,,,132,,,,,,,,,,
12-Oct-21,,,,,122,,,,,,,,,,
13-Oct-21,,,,,112,,,,,,,,,,
14-Oct-21,,,,,153,,,,,,,,,,
15-Oct-21,,,,,177,,,,,,,,,,
16-Oct-21,,,,,128,,,,,,,,,,
17-Oct-21,,,,,140,,,,,,,,,,
18-Oct-21,,,,,140,,,,,,,,,,
19-Oct-21,,,,,144,,,,,,,,,,
20-Oct-21,,,,,206,,,,,,,,,,
21-Oct-21,,,,,204,,,,,,,,,,
22-Oct-21,,,,,171,,,,,,,,,,
23-Oct-21,,,,,111,,,,,,,,,,
24-Oct-21,,,,,110,,,,,,,,,,
25-Oct-21,,,,,150,,,,,,,,,,
26-Oct-21,,,,,121,,,,,,,,,,
27-Oct-21,,,,,228,,,,,,,,,,
28-Oct-21,,,,,181,,,,,,,,,,
29-Oct-21,,,,,166,,,,,,,,,,
30-Oct-21,,,,,99,,,,,,,,,,
31-Oct-21,,,,,118,,,,,,,,,,
1-Nov-21,,,,,111,,,,,,,,,,
2-Nov-21,,,,,162,,,,,,,,,,
3-Nov-21,,,,,171,,,,,,,,,,
4-Nov-21,,,,,151,,,,,,,,,,
5-Nov-21,,,,,136,,,,,,,,,,
6-Nov-21,,,,,150,,,,,,,,,,
7-Nov-21,,,,,130,,,,,,,,,,
8-Nov-21,,,,,210,,,,,,,,,,
9-Nov-21,,,,,162,,,,,,,,,,
10-Nov-21,,,,,252,,,,,,,,,,
11-Nov-21,,,,,156,,,,,,,,,,
12-Nov-21,,,,,187,,,,,,,,,,
13-Nov-21,,,,,96,,,,,,,,,,
14-Nov-21,,,,,136,,,,,,,,,,
15-Nov-21,,,,,162,,,,,,,,,,
16-Nov-21,,,,,376,,,,,,,,,,
17-Nov-21,,,,,199,,,,,,,,,,
18-Nov-21,,,,,251,,,,,,,,,,
19-Nov-21,,,,,157,,,,,,,,,,
20-Nov-21,,,,,125,,,,,,,,,,
21-Nov-21,,,,,117,,,,,,,,,,
22-Nov-21,,,,,178,,,,,,,,,,
23-Nov-21,,,,,161,,,,,,,,,,
24-Nov-21,,,,,132,,,,,,,,,,
25-Nov-21,,,,,167,,,,,,,27,,,
26-Nov-21,,,,,297,,,,,,,30,,,
27-Nov-21,,,,,113,,,,,,,23,,,
28-Nov-21,,,,,148,,,,,,,13,,,
29-Nov-21,,,,,172,,,,,,,24,,,
30-Nov-21,,,,,208,,,,,,,20,,,
1-Dec-21,,,,,165,,,,,,,39,,,
2-Dec-21,,,,,137,,,,,,,39,,,
3-Dec-21,,,,,232,,,,,,,44,,,
4-Dec-21,,,,,426,,,,,,,44,,,
5-Dec-21,,,,,143,,,,,,,22,,,
6-Dec-21,,,,,208,,,,,,,32,,,
7-Dec-21,,,,,167,,,,,,,27,,,
8-Dec-21,,,,,143,,,,,,,32,,,
9-Dec-21,,,,,190,,,,,,,106,,,
10-Dec-21,,,,,202,,,,,,,81,,,
11-Dec-21,,,,,134,,,,,,,44,,,
12-Dec-21,,,,,107,,,,,,,38,,,
13-Dec-21,,,,,264,,,,,,,51,,,
14-Dec-21,,,,,164,,,,,,,54,,,
15-Dec-21,,,,,188,,,,,,,56,,,
16-Dec-21,,,,,131,,,,,,,83,,,
17-Dec-21,,,,,177,,,,,,,72,,,
18-Dec-21,,,,,116,,,,,,,42,,,
19-Dec-21,,,,,101,,,,,,,44,,,
20-Dec-21,,,,,149,,,,,,,63,,,
21-Dec-21,,,,,145,,,,,,,59,,,
22-Dec-21,,,,,117,,,,,,,71,,,
23-Dec-21,,,,,172,,,,,,,244,,,
24-Dec-21,,,,,102,,,,,,,676,,,
25-Dec-21,,,,,79,,,,,,,846,,,
26-Dec-21,,,,,91,,,,,,,1133,,,
27-Dec-21,,,,,147,,,,,,,1227,,,
28-Dec-21,,,,,246,,,,,,,1058,,,
29-Dec-21,,,,,200,,,,,,,895,,,
30-Dec-21,,,,,139,,,,,,,937,,,
31-Dec-21,,,,,124,,,,,,,968,,,
1-Jan-22,,,,,70,,,,,,,934,,,
2-Jan-22,,,,,92,,,,,,,303,,,
3-Jan-22,,,,,105,,,,,,,120,,,
4-Jan-22,,,,,117,,,,,,,85,,,
5-Jan-22,,,,,304,,,,,,,174,,,
6-Jan-22,,,,,314,,,,,,,116,,,
7-Jan-22,,,,,429,,,,,,,98,,,
8-Jan-22,,,,,273,,,,,,,65,,,
9-Jan-22,,,,,192,,,,,,,50,,,
10-Jan-22,,,,,316,,,,,,,45,,,
11-Jan-22,,,,,260,,,,,,,38,,,
12-Jan-22,,,,,285,,,,,,,51,,,
13-Jan-22,,,,,276,,,,,,,40,,,
14-Jan-22,,,,,248,,,,,,,34,,,
15-Jan-22,,,,,196,,,,,,,32,,,
16-Jan-22,,,,,157,,,,,,,23,,,
17-Jan-22,,,,,285,,,,,,,45,,,
18-Jan-22,,,,,295,,,,,,,158,,,
19-Jan-22,,,,,270,,,,,,,280,,,
20-Jan-22,,,,,329,,,,,,,183,,,
21-Jan-22,,,,,754,,,,,,,157,,,
22-Jan-22,,,,,478,,,,,,,126,,,
23-Jan-22,,,,,277,,,,,,,116,,,
24-Jan-22,,,,,461,,,,,,,174,,,
25-Jan-22,,,,,343,,,,,,,91,,,
26-Jan-22,,,,,469,,,,,,,89,,,
27-Jan-22,,,,,385,,,,,,,104,,,
28-Jan-22,,,,,331,,,,,,,133,,,
29-Jan-22,,,,,335,,,,,,,119,,,
30-Jan-22,,,,,260,,,,,,,100,,,
31-Jan-22,,,,,367,,,,,,,104,,,
1-Feb-22,,,,,355,,,,,,,138,,,
2-Feb-22,,,,,380,,,,,,,134,,,
3-Feb-22,,,,,334,,,,,,,85,,,
4-Feb-22,,,,,442,,,,,,,106,,,
5-Feb-22,,,,,307,,,,,,,116,,,
6-Feb-22,,,,,236,,,,,,,134,,,
7-Feb-22,,,,,389,,,,,,,192,,,
8-Feb-22,,,,,424,,,,,,,263,,,
9-Feb-22,,1421,,,375,,,,,,,106,,,
10-Feb-22,,1510,,,502,,,,,,,106,,,
11-Feb-22,,1507,,,529,,,,,,,139,,,
12-Feb-22,,1554,,,384,,,,,,,104,,,
13-Feb-22,,1079,,,305,,,,,,,99,,,
14-Feb-22,,1302,,,372,,,,,,,87,,,
15-Feb-22,,1632,,,450,,,,,,,109,,,
16-Feb-22,,1370,,,372,,,,,,,88,,,
17-Feb-22,,1334,,,217,,,,,,,106,,,
18-Feb-22,,1515,,,194,,,,,,,96,,,
19-Feb-22,,1239,,,253,,,,,,,80,,,
20-Feb-22,,1272,,,389,,,,,,,99,,,
21-Feb-22,,1491,,,478,,,,,,,100,,,
22-Feb-22,,1679,,,415,,,,,,,108,,,
23-Feb-22,,1355,,,403,,,,,,,117,,,
24-Feb-22,,2001,,,678,,,,,,,129,,,
25-Feb-22,,1646,,,418,,,,,,,107,,,
26-Feb-22,,1344,,,297,,,,,,,106,,,
27-Feb-22,,1128,,,356,,,,,,,88,,,
28-Feb-22,,1374,,,455,,,,,,,112,,,
1-Mar-22,,1991,,,445,,,,,,,127,,,
2-Mar-22,,1469,,,363,,,,,,,87,,,
3-Mar-22,,1354,,,424,,,,,,,120,,,
4-Mar-22,,1628,,,474,,,,,,,132,,,
5-Mar-22,,1475,,,300,,,,,,,103,,,
6-Mar-22,,1128,,,314,,,,,,,128,,,
7-Mar-22,,1412,,,416,,,,,,,126,,,
8-Mar-22,,1523,,,337,,,,,,,107,,,
9-Mar-22,,1667,,,461,,,,,,,130,,,
10-Mar-22,,1634,,,426,,,,,,,124,,,
11-Mar-22,,1403,,,394,,,,,,,1621,,,
12-Mar-22,,1180,,,215,,,,,,,88,,,
13-Mar-22,,1069,,,325,,,,,,,103,,,
14-Mar-22,,1635,,,372,,,,,,,122,,,
15-Mar-22,,1645,,,331,,,,,,,115,,,
16-Mar-22,,1805,,,414,,,,,,,118,,,
17-Mar-22,,1829,,,359,,,,,,,113,,,
18-Mar-22,,1650,,,421,,,,,,,124,,85,
19-Mar-22,,1876,,,318,,,,,,,117,,49,
20-Mar-22,,1612,,,320,,,,,,,103,,44,
21-Mar-22,,1809,,,327,,,,,,,128,,42,
22-Mar-22,,2225,,,371,,,,,,,134,,40,
23-Mar-22,,2017,,,324,,,,,,,144,,37,
24-Mar-22,,2176,,,362,,,,,,,178,,54,
25-Mar-22,,2292,,,365,,,,,,,155,,49,
26-Mar-22,,1740,,,216,,,,,,,119,,28,
27-Mar-22,,1579,,,374,,,,,,,131,,81,
28-Mar-22,,2647,,,486,,,,,,,190,,111,
29-Mar-22,,2351,,,431,,,,,,,204,,113,
30-Mar-22,,2108,,,429,,,,,,,177,,73,
31-Mar-22,,2099,,,536,,,,,,,183,,72,
1-Apr-22,,2440,,,538,,,,,,,170,,75,
2-Apr-22,,2201,,,385,,,,,,,163,,59,
3-Apr-22,,1820,,,344,,,,,,,148,,44,
4-Apr-22,,1895,,,446,,,,,,,166,,57,
5-Apr-22,,2078,,,383,,,,,,,158,,63,
6-Apr-22,,2472,,,660,,,,,,,213,,84,
7-Apr-22,,2181,,,436,,,,,,,176,,46,
8-Apr-22,,1747,,,394,,,,,,,193,,41,
9-Apr-22,,1800,,,247,,,,,,,134,,38,
10-Apr-22,,1260,,,257,,,,,,,136,,39,
11-Apr-22,,2445,,,654,,,,,,,236,,86,
12-Apr-22,,2366,,,413,,,,,,,184,,60,
13-Apr-22,,1858,,,395,,,,,,,194,,77,
14-Apr-22,,1725,,,400,,,,,,,239,,170,
